website,loc,lastmod,cured_name,type
www.kevinrchant.com,https://www.kevinrchant.com/2019/11/06/personal-2019-pass-election-vote-for-johan/,2021 06 29,personal 2019 pass election vote for johan,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/11/04/sql-server-2019-officially-released/,2021 06 29,sql server 2019 officially released,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/09/23/more-about-sql-server-professionals-using-version-control/,2021 06 29,more about sql server professionals using version control,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/04/29/azure-related-topics-at-data-community-weekender-europe/,2021 06 29,azure related topics at data community weekender europe,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/06/17/using-version-control-with-an-azure-data-studio-notebook/,2021 06 29,using version control with an azure data studio notebook,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/03/23/personal-working-from-home-again-thoughts-and-tips/,2021 06 29,personal working from home again thoughts and tips,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/04/01/current-sql-server-2019-learning-resources/,2021 06 29,current sql server 2019 learning resources,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/12/05/maintaining-larger-sql-server-databases-recap/,2021 06 29,maintaining larger sql server databases recap,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/02/24/tips-for-dealing-with-large-sql-server-scripts/,2021 06 29,tips for dealing with large sql server scripts,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/01/08/lessons-learned-by-a-time-travelling-sql-server-dba-part-one-the-past/,2021 06 29,lessons learned by a time travelling sql server dba part one the past,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/05/08/current-sql-server-2019-big-data-clusters-learning-resources/,2021 06 29,current sql server 2019 big data clusters learning resources,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/01/24/study-tips-for-sql-server-and-azure-exams/,2021 06 29,study tips for sql server and azure exams,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/07/01/testing-sql-server-assessment-in-azure-data-studio/,2021 06 30,testing sql server assessment in azure data studio,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/01/15/lessons-learned-by-a-time-travelling-sql-server-dba-part-two-the-future/,2021 06 30,lessons learned by a time travelling sql server dba part two the future,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/06/24/big-appreciation-for-key-workers/,2021 06 30,big appreciation for key workers,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/05/25/recent-azure-data-studio-updates/,2021 06 30,recent azure data studio updates,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/10/13/t-sql-tuesday-131-database-analogies/,2021 06 30,t sql tuesday 131 database analogies,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/04/06/my-nine-days-that-never-happened/,2021 06 30,my nine days that never happened,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/03/04/using-version-control-for-sql-server-management-studio-templates/,2021 06 30,using version control for sql server management studio templates,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/12/11/slow-clustered-index-rebuilds-within-sql-server/,2021 06 30,slow clustered index rebuilds within sql server,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/10/30/another-sql-server-horror-story-morning-after-a-zombie-spid/,2021 06 30,another sql server horror story morning after a zombie spid,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/02/19/investigating-sql-server-issues-locally-on-windows-server-2019-core/,2021 06 30,investigating sql server issues locally on windows server 2019 core,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/06/01/interesting-windows-container-with-sql-server-experiment/,2021 06 30,interesting windows container with sql server experiment,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/06/09/t-sql-tuesday-127-create-your-own-azure-devops-organization/,2021 06 30,t sql tuesday 127 create your own azure devops organization,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/12/20/potential-for-the-future-after-this-years-data-platform-announcements/,2021 06 30,potential for the future after this years data platform announcements,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/04/25/deploying-sql-server-services-in-azure-using-visual-studio-subscription/,2021 06 30,deploying sql server services in azure using visual studio subscription,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/04/17/data-platform-professionals-survival-guide-for-a-long-weekend/,2021 06 30,data platform professionals survival guide for a long weekend,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/10/04/whats-the-definition-of-data-platform-for-people-with-a-sql-server-background/,2021 06 30,whats the definition of data platform for people with a sql server background,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/10/02/a-new-beginning/,2021 06 30,a new beginning,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/05/11/t-sql-tuesday-138-how-i-keep-on-top-of-technology-changes/,2021 07 01,t sql tuesday 138 how i keep on top of technology changes,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/04/19/dataweekender-v3-1-schedule-and-other-announcements/,2021 07 03,dataweekender v3 1 schedule and other announcements,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/01/06/recording-sql-server-related-services-in-azure/,2021 07 03,recording sql server related services in azure,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/05/03/gaining-the-azure-data-engineer-associate-microsoft-certification/,2021 08 01,gaining the azure data engineer associate microsoft certification,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/04/23/master-data-services-says-hello-to-html-in-sql-server-2019/,2021 08 07,master data services says hello to html in sql server 2019,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/07/28/azure-test-plans-jargon-for-data-platform-professionals/,2021 08 22,azure test plans jargon for data platform professionals,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/11/06/deploy-sqlwatch-to-sql-server-using-azure-devops/,2021 08 26,deploy sqlwatch to sql server using azure devops,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/07/13/t-sql-tuesday-140-easy-demos-using-containers/,2021 09 02,t sql tuesday 140 easy demos using containers,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/11/30/tips-for-deploying-to-multiple-sql-server-database-types-using-azure-devops/,2021 09 02,tips for deploying to multiple sql server database types using azure devops,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/03/26/running-sql-server-on-linux-on-your-own-laptop/,2021 09 02,running sql server on linux on your own laptop,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/10/29/sql-server-installation-options-to-test-azure-devops-deployments-locally/,2021 09 02,sql server installation options to test azure devops deployments locally,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/08/30/azure-test-plans-example-for-power-bi/,2021 09 06,azure test plans example for power bi,blog
